,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,URT
30,عمو شاورما,ChIJr_KtitppWRURCEQGUjdXZGs,32.6136794,44.0197113,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","J279+FV8, Karbala",2,7
31,گوست برگر كربلاء Ghost burger,ChIJ-6Qfr8FpWRURTBDXrgSISXI,32.5955106,44.0151656,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","القاعة الرياضية المغلقة, Karbala",2,144
32,مطعم الهنا(فلافل),ChIJHch3NjxrWRURJOeUhk8LzXM,32.5823263,44.04238429999999,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2JR+WXJ, Karbala",2,2
33,Beirut Burger,ChIJZ2VOTFtrWRUR5sAyx3zy0gw,32.6048271,44.022827,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",شارع الامام علي بن ابي طالب ع، كربلاء 56001، كربلاء حي النقيب,2,2
34,أسماك الزهراء,ChIJcakuie1rWRURYXYRAuf7Em4,32.6139841,44.0338273,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J27M+HGW, Karbala",2,0
35,جود بركر,ChIJORc3ZoZpWRURRJNXaYyeJBo,32.6018277,44.0122236,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","J226+PWV, Karbala",2,4
36,Banquet Restaurant Karbala,ChIJAWUiwO1rWRURFmJgtOS-oxE,32.6129365,44.0352521,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","J27P+53H، شارع الجمهورية, Karbala",2,106
37,Baghdad kebab restaurant,ChIJ1_P4qW5sWRURQQQ_1Ah3mC0,32.6327293,44.0438017,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",Baghdad Rd,2,765
38,مطعم صحة وهنا,ChIJofiOHPZtWRURlaALujYI3rQ,32.6258127,44.0332104,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Unnamed Road, Karbala 56001",2,9
39,Burger Time,ChIJoabXwzZqWRURpxAgfvund2w,32.5808062,44.0352414,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2JP+83P, Karbala",2,8
40,Al-Baron Restaurant,ChIJ_YmMUeNrWRURDm20ZY4FF48,32.618774,44.0240693,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Karbala,2,263
41,Food Fort Restaurant,ChIJOQ4RhrRrWRURCjbxerC-U3Y,32.5950138,44.02192780000001,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع حي الحسين, Karbala",2,941
42,ابو الحلقوم حجي رماش,ChIJr98gAihrWRURmZSHDYOt80c,32.5741069,44.02355430000001,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",H2FF+MV6، 56001،,2,3
43,Semeen restaurant,ChIJU1x66URtWRURqTeOKmHGPkI,32.6257485,44.0493088,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",J2GX+9H,2,1
44,قيمة نجفية,ChIJ7ZaqG5xrWRURPTkJqO7Li-g,32.586914,44.0498383,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","H3P3+CV, Karbala",2,1
45,مشويات النخيل,ChIJq_t0PL5rWRURavvuMLaiuaM,32.5940409,44.0422448,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2VR+JV9, Karbala",2,3
