,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
426,مطعم ابو علي,ChIJrxjbw6iF_T8R-MgnguuRzQg,33.6974783,45.0781549,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3WH+X5H, Bald Ruz",2,0
427,كباب رحمن,ChIJvylFBqCH_T8RENs6DB2IkI0,33.683178,45.0484112,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M2MX+79F، دور مندلي، بلد الرز،, Bald Ruz",2,0
428,قصابة ابو علي المياحي,ChIJ2zuF5FeF_T8R07nY5qp7-sQ,33.7733487,45.1494505,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Q4FX+8QP, Jasim 'Ajil",2,0
429,اسماك ميثم,ChIJj1-yXjWF_T8RrEw2e6Q6hh4,33.7733487,45.1494505,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Q4FX+8QP, Jasim 'Ajil",2,0
430,مشويات ابو فراس,ChIJr5OI2rGH_T8RXes5yn76T7w,33.6904992,45.0679581,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3R9+55W, Bald Ruz",2,1
431,كوفي جومانة,ChIJUasQiiyH_T8RIHAfwv8SJQA,33.6940107,45.0689784,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع المستشفى, Bald Ruz",2,0
432,باجة الراعي,ChIJCYhzDOaH_T8RlpwIqAQEqwA,33.6904864,45.068108,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","الحي العصري, Bald Ruz",2,0
433,مطعم صحة وعافيه,ChIJPV_-fSqH_T8RPZnvmB_9oJE,33.6932921,45.0690546,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3V9+8J7، Unnamed Road, Bald Ruz",2,32
434,مطعم لارين,ChIJgRndTAuH_T8RqmjtrUSR0Wc,33.6910345,45.0623674,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3R6+CW9, Bald Ruz",2,7
435,كباب عامر,ChIJ7z_lWdGH_T8RPXeCtNJ3IDY,33.6959386,45.0679825,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","82, Bald Ruz",2,2
436,مطعم الريان,ChIJG9nbZV-H_T8R6pm-_2JCahs,33.6927722,45.0671628,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3V8+4V3, Bald Ruz",2,1
437,مصطفى للافضل وجبات,ChIJVbsC9jCR_T8R_SGOfElMlzY,33.7764246,45.1548793,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Q5G3+HX6، ديالى محافظة،, Jasim 'Ajil",2,0
438,مأكولات أحمد غريب,ChIJVWpdhQqH_T8RbuyjZIjBSYQ,33.6834269,45.0491126,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",M2MX+FRH، بلد الرز،,2,0
439,مجزرة العمده,ChIJM33_KkyH_T8RD7aqpoRJjMI,33.7024035,45.0639844,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","P327+XH9، بلد الرز،, Bald Ruz",2,1
440,Fast food اكلات سريعة,ChIJkVW66nWH_T8RNyJzps-o7wc,33.6845001,45.0519636,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3M2+RQ4, Unnamed Road،, Bald Ruz",2,7
441,البان الشميسي,ChIJiajslG6F_T8R3diypI3DIks,33.7733487,45.1494505,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Q4FX+8QP، ديالى،,2,0
442,شارع التحاد,ChIJ2-4Ru4qH_T8R0kBpJyocOPw,33.6876268,45.0699945,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3Q9+3X5، شارع الاتحاد ، بلد الرز،, Bald Ruz",2,0
443,بعقوبة الجديدة,ChIJX-FuthaF_T8RKSvGc-eGeGw,33.7733487,45.1494505,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Q4FX+8QP، ديالى،,2,1
444,مأكولات أحمد غريب,ChIJVWpdhQqH_T8RbuyjZIjBSYQ,33.6834269,45.0491126,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",M2MX+FRH، بلد الرز،,2,0
445,مطعم زيتونة عباس دبل,ChIJn8cIuPiH_T8RGajZqdmvw38,33.6876268,45.0699945,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3Q9+3X5، شارع خجو, Bald Ruz",2,1
446,مطعم الحاج حغ,ChIJM0GFtWmH_T8R626luEmeOHA,33.6864986,45.0653528,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3P8+H4X, Bald Ruz",2,0
447,مطعم دوبي,ChIJX5eyT1GH_T8RISaGyVEUhew,33.6942367,45.06823199999999,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3V9+M7X, Bald Ruz",2,1
448,مطعم ماكد نولز,ChIJ66KNObaH_T8Rcn3JJ-LvihM,33.682535,45.052859,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",M3M3+24، بلد الرز،,2,5
449,مطعم ابو فراس,ChIJiazH4p-H_T8RXqIPlGCqeHI,33.6914527,45.0636201,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3R7+HCQ, Bald Ruz",2,1
450,مطعم العبيدي,ChIJRdidvSWF_T8RuiyVRIUuJQ8,33.7733487,45.1494505,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Q4FX+8QP, Jasim 'Ajil",2,0
451,كباب رحمن,ChIJvylFBqCH_T8RENs6DB2IkI0,33.683178,45.0484112,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M2MX+79F، دور مندلي، بلد الرز،, Bald Ruz",2,0
452,شارع التحاد,ChIJ2-4Ru4qH_T8R0kBpJyocOPw,33.6876268,45.0699945,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3Q9+3X5، شارع الاتحاد ، بلد الرز،, Bald Ruz",2,0
453,كباب عامر,ChIJ7z_lWdGH_T8RPXeCtNJ3IDY,33.6959386,45.0679825,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","82, Bald Ruz",2,2
454,مطعم صحة وعافيه,ChIJPV_-fSqH_T8RPZnvmB_9oJE,33.6932921,45.0690546,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3V9+8J7، Unnamed Road, Bald Ruz",2,32
455,مطعم العافية,ChIJdcqVaPWH_T8Ry5vDEF1AHQE,33.6914588,45.0565185,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","82, Bald Ruz",2,2
456,مشويات ابو فراس,ChIJr5OI2rGH_T8RXes5yn76T7w,33.6904992,45.0679581,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3R9+55W, Bald Ruz",2,1
457,قصابة ابو علي المياحي,ChIJ2zuF5FeF_T8R07nY5qp7-sQ,33.7733487,45.1494505,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Q4FX+8QP, Jasim 'Ajil",2,0
458,مطعم ومأكولات ابو الفضل,ChIJa6ihAzGF_T8Rugi5Vh886Ic,33.7733487,45.1494505,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Q4FX+8QP، ديالى،,2,0
459,مصطفى للافضل وجبات,ChIJVbsC9jCR_T8R_SGOfElMlzY,33.7764246,45.1548793,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Q5G3+HX6، ديالى محافظة،, Jasim 'Ajil",2,0
460,كباب قصي,ChIJf7S3nxqF_T8RwpGyUghRrNg,33.6964794,45.0792848,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",M3WH+HPV، بلدروز،,2,1
461,كوفي جومانة,ChIJUasQiiyH_T8RIHAfwv8SJQA,33.6940107,45.0689784,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع المستشفى, Bald Ruz",2,0
462,مطعم فلاح العتبي,ChIJEQq28cGH_T8RjQEeGi2lrlA,33.6958944,45.0678345,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",82، بلد الرز،,2,0
463,اسماك ميثم,ChIJj1-yXjWF_T8RrEw2e6Q6hh4,33.7733487,45.1494505,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Q4FX+8QP, Jasim 'Ajil",2,0
464,Fast food اكلات سريعة,ChIJkVW66nWH_T8RNyJzps-o7wc,33.6845001,45.0519636,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3M2+RQ4, Unnamed Road،, Bald Ruz",2,7
465,مطعم ومشويات كربلاء,ChIJi0tizC2H_T8RF6i3iThk9sg,33.6891278,45.0509348,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",M3Q2+J93، بلد الرز،,2,0
466,باجة الراعي,ChIJCYhzDOaH_T8RlpwIqAQEqwA,33.6904864,45.068108,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","الحي العصري, Bald Ruz",2,0
467,مطعم الغيث,ChIJXdJ2AOuF_T8RCIu9ls6KCm8,33.7733487,45.1494505,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Q4FX+8QP، ديالى،,2,0
468,مطعم الريان,ChIJG9nbZV-H_T8R6pm-_2JCahs,33.6927722,45.0671628,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3V8+4V3, Bald Ruz",2,1
469,مطعم لارين,ChIJgRndTAuH_T8RqmjtrUSR0Wc,33.6910345,45.0623674,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3R6+CW9, Bald Ruz",2,7
470,مطعم احمد ابو راس,ChIJR7LTXeuF_T8RiHit8Es5lV8,33.7733487,45.1494505,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Q4FX+8QP، ديالى محافظة الورديه, Jasim 'Ajil",2,0
471,بعقوبة الجديدة,ChIJX-FuthaF_T8RKSvGc-eGeGw,33.7733487,45.1494505,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Q4FX+8QP، ديالى،,2,1
472,مطعم ألماس 1 موابس,ChIJBa57RhSH_T8RSHzzMshGZWs,33.6893473,45.0524104,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3Q2+PXM, Bald Ruz",2,51
473,مطعم وكوفي نوتيلا,ChIJVVEu6pSH_T8R7iKIjQr0fwY,33.682754,45.0498949,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","دور مندلي، شارع السجاد, Bald Ruz",2,7
474,مجزرة العمده,ChIJM33_KkyH_T8RD7aqpoRJjMI,33.7024035,45.0639844,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","P327+XH9، بلد الرز،, Bald Ruz",2,1
475,فلافل لبنان,ChIJZbFZQxyF_T8RsMxLfvMon3A,33.7733487,45.1494505,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Q4FX+8QP, ديالى،",2,1
476,يونايتد جكن,ChIJ7w0-YjiH_T8RNSR4SdE5I-g,33.6942517,45.0685933,0.0,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",M3V9+M7X، بلد، الرز،,2,0
477,مطعم اورجانو فود,ChIJPY9rCWqH_T8ReaaKxXejokw,33.6859614,45.0632109,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3P7+97P، مدرسة الصالحات الابتدائية للبنات، بلدروز - الحي العسكري - مقابل، بلد الرز،، بلد الرز،, Bald Ruz",2,10
478,ركن المدينة,ChIJwWwBL2OH_T8Rt88dHONFqUY,33.6908236,45.05462319999999,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","82, Bald Ruz",2,10
479,مطعم البغدادي,ChIJO9q0PDKH_T8ROWAtsXx4yfg,33.6876268,45.0699945,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",M3Q9+3X5، بلدروز،,2,0
480,مطعم ابو علي,ChIJrxjbw6iF_T8R-MgnguuRzQg,33.6974783,45.0781549,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3WH+X5H, Bald Ruz",2,0
481,البان الشميسي,ChIJiajslG6F_T8R3diypI3DIks,33.7733487,45.1494505,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Q4FX+8QP، ديالى،,2,0
482,مطعم بغداد,ChIJAftR5juF_T8RuTcEwB3U1Xo,33.6973163,45.0774082,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3WG+WXF, Bald Ruz",2,12
483,مطعم وكوفي سوهو-SoHo Restaurant and Coffee,ChIJFeA1YhyH_T8R5up6ceoEjVA,33.690866,45.0621985,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']","M3R6+8VW، شارع الجمعية، بلد الرز، ديالى،, Bald Ruz",2,2
484,الطباخ احمد شكيرأو,ChIJXT4VBK6H_T8Rdp1Ji2cj16s,33.6968335,45.0729171,0.0,"['food', 'point_of_interest', 'establishment']","مقابيل تجهيزات الهاشمي, Bald Ruz",2,0
485,مطعم شاورما شام,ChIJfawB1_uH_T8ROZ0umk9NJg0,33.6930986,45.0684557,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","M3V9+69P, Unnamed Road، بلد الرز،،, Bald Ruz",2,0
486,kufi layalina,ChIJOaT56yGH_T8RNSgwi-axJQ0,33.6918156,45.0630658,0.0,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","M3R7+P6G, Bald Ruz",2,0
487,محل جاسم ابو رقية للغذائية,ChIJCeKFL_GH_T8RX2QLoWt0Frw,33.6855285,45.0510542,0.0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","M3P2+6C7, Bald Ruz",2,0
488,ستي كريب,ChIJUX7fEg6H_T8RMXGzH3u2k6o,33.68913,45.0517405,5.0,"['food', 'store', 'point_of_interest', 'establishment']","الشارع العام, Bald Ruz",2,3
489,اسواق الحسنين,ChIJj-8rJ8qH_T8RwPmBgKcae1o,33.6899327,45.0518843,4.3,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",حسينية الامام المهدي ( عج )، ، بلد، الرز،,2,3
490,لايص,ChIJvX2NySWF_T8Rk6dxIud2JUY,33.7733487,45.1494505,0.0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",Q4FX+8QP، محافظة،,2,0
491,اسواق نورس الزيدي,ChIJ-1ttfDOH_T8RqSi0RMj3yuM,33.7020345,45.0644753,4.0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","P327+RQ9, Bald Ruz",2,15
492,اسواق المدينة,ChIJ5eb4jJuF_T8R4491hvY7Afw,33.6986231,45.0888425,0.0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","M3XQ+CGW, Bald Ruz",2,0
493,كافي الموال شبابي,ChIJswP0Nk2H_T8RbRvL-MK2G64,33.6923468,45.0669493,0.0,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","M3R8+WQ, Bald Ruz",2,0
494,كوفي شوب الزيتونة,ChIJ-2TC1juH_T8RK270_wUJags,33.6835828,45.0572866,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']","M3M4+CWM، بلد الرز،, Bald Ruz",2,14
495,أسواق العائلة,ChIJZcwZXPaF_T8Rroq118qD0u0,33.7733487,45.1494505,0.0,"['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']","Q4FX+8QP، تتن ، ديالى ،, Jasim 'Ajil",2,0
496,اعشاب وعطارية السيد,ChIJZ1RQbD2H_T8RahugSQc-xiw,33.6951452,45.0671924,0.0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","كراج بلدروز، 82, بلد الرز،، بلد الرز،",2,0
