,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
29,FINGERS,ChIJ3zxM8tqvWBURPKNCGWB-9Go,32.0023146,44.9058504,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2W24+W8H, Al Diwaniyah",2,1
30,Flyoff فلاي اوف,ChIJL_m0wLCvWBURY3Tpw73BTe4,31.9976357,44.8782438,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","XVXH+375, شارع الجامعة، الديوانية،, Al Diwaniyah",2,48
31,قصابية اللحوم الحمراء,ChIJeWRnHDqvWBUROQaimjlA_Lo,31.991835,44.9152395,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWR8+P3Q, Al Diwaniyah",2,148
32,مطعم وكافيه رويال لايتس,ChIJswqUkIKvWBUR6O6sImLFaVg,32.003059,44.9065941,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","2W34+6JH، شارع الكورنيش, Al Diwaniyah",2,43
33,مطعم كباب ابو علي,ChIJPd4q5JaoWBUR6KfPQiHi82M,31.98846,44.9471936,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWQW+9VP, Al Diwaniyah",2,97
34,مأكولات الكوخ,ChIJIx5fEMmvWBURjKt9YaZII0c,32.0006661,44.9016809,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","2W22+7M7, Al Diwaniyah",2,130
35,Pizza Tion,ChIJg1bEvkGvWBUR9re7ECFkEiM,31.9976714,44.9093538,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWX5+3P4, Al Diwaniyah",2,0
36,وكالة هالبينو,ChIJfVUnAfyvWBURlazjLKhDssw,31.9940832,44.9046761,3.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع ساحة الاحتفالات, Al Diwaniyah",2,7
37,Alsajad Kebab Restaurant,ChIJ_9fh-TOvWBURP-7We5G5Rq0,31.9891327,44.9212487,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWQC+MF5, Al Diwaniyah",2,405
38,مطعم جنة الحسين حي الصناعي,ChIJR9obJQ2vWBURgDdnRa8HlII,31.9838973,44.8854115,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","XVMP+H59, Unnamed Road, Al Diwaniyah",2,100
39,مأكولات لايك,ChIJicgdijavWBURIo614VW3f5U,31.9879028,44.924425,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","XWQF+5Q7, Al Diwaniyah",2,0
40,Salato سلطة,ChIJD66lUmqvWBURnLJPWjwzZnM,32.0041745,44.90417739999999,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","2W33+MPH, Al Diwaniyah",2,115
41,مطعم حياوي,ChIJ3esuULevWBURihYiysn8e00,31.9950234,44.8886466,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']",XVWQ+2F2، شارع بغداد، الديوانية‎،,2,100
42,مطعم الكوخ,ChIJVzvMqj6vWBUR0s6l5nOf_mc,31.9740458,44.8957445,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","XVFW+J79، الديوانية،, Al Diwaniyah",2,3
43,مطعم كباب نذير,ChIJh7LjS2KvWBURWjQAQNcmy7A,32.009527,44.9191537,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","2W59+RM6، الديوانية،, Al Diwaniyah",2,97
44,مندي المرحباني,ChIJ09Pw13KvWBURCeQwRnXrr4w,32.0144042,44.903057,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']",شارع المشتل، الديوانية حي الفرات قرب جامع العقيلة زينب,2,21
45,ماكولات صوفيا بركر,ChIJ4TysODSvWBURhcPXubhyY4o,31.9740458,44.8957445,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","XVFW+J79، الديوانية،, Al Diwaniyah",2,0
46,Cowboy burger,ChIJ2TC_vHCvWBURLfN_f4OR2XY,31.9960409,44.9043846,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","XWW3+CR3, Al Diwaniyah",2,0
47,مطعم الكوخ,ChIJK0xhmAqpWBURjVGg_C0Ct1U,31.9978648,44.94956670000001,2.5,"['restaurant', 'point_of_interest', 'food', 'establishment']",الديوانية، العسكري 3,2,6
48,مطعم السجاد ٢,ChIJZe-HMk2vWBURsAaNVbVwKBg,31.9997579,44.92536519999999,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","XWXG+W45, Al Diwaniyah",2,326
49,مأكولات دربونه,ChIJOas_4luvWBURcUBrekIMcB4,31.9956478,44.8742996,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",XVWF+7P3، الديوانية،,2,0
50,ماكولات زيتونة,ChIJWUC8lNapWBURnJPIHm-zXtg,31.9773206,44.9448518,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","XWGV+WWH، شارع الزيتون، الديوانية،, Al Diwaniyah",2,0
51,مطعم السيد,ChIJIcN9bwgJ4j8RvJP72OW1ubU,32.024091,45.0360878,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']",1,2,392
52,طاطلي ابو علي,ChIJ8QY4SVuvWBURsl-3endwrsQ,31.9898906,44.9201643,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","XWQC+X33، الجمهوري الشرقي، الديوانية،، الديوانية،, Al Diwaniyah",2,0
53,اطلق مطعم بيتزا,ChIJFfMuPShVXxURv8YJkoCIgn8,31.8252101,44.9435462,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",RWGV+3CM، مدينة السدير الديوانية,2,2
54,مطعم السبطين,ChIJY-31j-WpWBUR1KwuvubabFI,31.9672678,44.9631956,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",XWHV+82X، شارع الزيتون، الديوانية،,2,1
55,مطعم الجندول,ChIJh3046dGvWBURkBIb1UTN30o,32.0013267,44.9062146,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']",شارع الكورنيش، الديوانية‎، إقليم الجنوب,2,83
56,مأكولات ماما,ChIJRQCU0pynWBURI8Ms9eX9E24,32.0081976,44.9390997,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",2W5Q+7M الديوانية،،، الديوانية،,2,1
57,Burger ponit,ChIJfyjlSRyvWBURl9cvx9zE1Fg,31.9740458,44.8957445,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","XVFW+J79، الديوانية،, Al Diwaniyah",2,0
