,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,User Rating tot
28,Beroea Restaurant,ChIJR1UIo8sfB0ARM2PWjDVpVTE,36.24456230000001,43.9990339,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Happy kids zone, Near, عنكاوا، Erbil",2,127
29,Ahmed restaurant,ChIJpQsBSWUhB0ARgtIdLTiagK0,36.2196441,44.0306975,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","629J+V74, Erbil",2,77
30,Basilic restaurant & café,ChIJKYNaSb4jB0ARjTaR4-GOHCk,36.2164741,44.0036134,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","6283+HCX, Erbil",2,32
31,Asian Bistro Restaurant,ChIJFwjFOtQfB0ARDAEzZEJHGhE,36.2358772,43.9965682,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","44004 Two side, Erbil",2,22
32,Gemsbok Restaurant,ChIJFYilQH8jB0ARJ7tpAUPKO7U,36.1857377,44.0396284,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","52PQ+7RX, Peshawa Qazi, Erbil",2,0
33,RESTOBAR RESTAURANT & BAR,ChIJBew0A-cjB0AR9M3-M_8K6bA,36.2091865,43.9812927,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","44001, parkview Erbil",2,33
34,Naz Restaurant,ChIJtWUOUQUjB0AR1SCTQq9XNT4,36.2078372,43.9934854,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Media School, Bakhtiary 20m road opposite, Ainkawa, Erbil",2,28
35,Bistro Restaurant Hyatt Regency Hotel,ChIJN2kZh50jB0AR_Yr9284rhmo,36.2121943,43.9933224,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","6X6V+WCR, Erbil",2,5
36,Hiror هرور,ChIJj4N2yFMhB0ARlXWUAMMgPAc,36.24419280000001,44.0656398,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",Zin City Erbil Kurdistan,2,983
37,Diavola Restaurant,ChIJ3Zg401ElB0AR7vqq9ipNngw,36.1530311,44.0433441,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","523V+57C, Erbil",2,1
38,Kasa Brnj restaurant,ChIJh7N0SpcjB0ARyZyN1DkcWns,36.2031688,44.0104352,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","6236+766, Aras, Erbil",2,97
39,Shay Chezh Kurdish Traditional Restaurant,ChIJw8VUK74jB0ARFkdQm_AlD9M,36.1670386,44.011143,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","5286+RF6, Erbil",2,39
40,Nay Restaurant,ChIJF4gyK1gjB0ARFvTsxJmOLJA,36.20918640000001,43.9813383,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",Erbil,2,15
